Lead ID,Date,Location,Form,Postcode,Make,Model,State,Registration Type,Badge,Colour,Second-preference Colour,Optional Package,Trade-in Yes/No,Year,Vehicle,Model,Odometer
3245609,3/6/2026,Mildura JAC Motors,Register Your Interest JAC Hunter,3501,,,,,,,,,,,,,
3245451,3/6/2026,Coral Coast JAC Motors,Register Your Interest JAC Hunter,4670,,,,,,,,,,,,,
3245304,3/6/2026,JAC Motors Shepparton,HunterBuild,3723,JAC,Hunter,NSW,Personal,Hunter Pro 4x4,Ochre,I would like to wait for my preferred colour.,,Yes,,Mercedes,ML250,
3245271,3/6/2026,Northern JAC Motors,Register Your Interest JAC Hunter,3170,,,,,,,,,,,,,
3245158,2/6/2026,Northern JAC Motors,Register Your Interest JAC Hunter,3158,,,,,,,,,,,,,
3245109,2/6/2026,Northern JAC Motors,Register Your Interest JAC Hunter,3934,,,,,,,,,,,,,
3245025,2/6/2026,JAC Motors Midland,Register Your Interest JAC Hunter,6152,,,,,,,,,,,,,
3244968,2/6/2026,JAC Motors Queanbeyan,Register Your Interest JAC Hunter,2620,,,,,,,,,,,,,
3244876,2/6/2026,JAC Motors Shepparton,Register Your Interest JAC Hunter,3624,,,,,,,,,,,,,
3244731,2/6/2026,JAC Motors Wodonga,Register Your Interest JAC Hunter,3685,,,,,,,,,,,,,
3244605,2/6/2026,JAC Motors Wanneroo,HunterBuild,6065,JAC,Hunter,WA,Personal,Hunter X 4x4,Hammerhead,Karak,Front & Rear Diff Lock - Already included,Yes,2011,Volksagen,Golfconvertible,195000
3244401,1/6/2026,JAC Motors Wanneroo,Register Your Interest JAC Hunter,6030,,,,,,,,,,,,,
3244391,1/6/2026,Cricks Highway JAC Motors,Register Your Interest JAC Hunter,4208,,,,,,,,,,,,,
3244274,1/6/2026,JAC Motors Capalaba,Register Your Interest JAC Hunter,4163,,,,,,,,,,,,,
3244036,1/6/2026,JAC Motors Nowra,HunterBuild,2505,JAC,Hunter,NSW,Personal,Hunter Pro 4x4,Ochre,Huntsman,Front & Rear Diff Lock - $TBC,Yes,2016,VW,Passat,175000
3243920,31/5/2026,E.L.N. JAC Motors,Register Your Interest JAC Hunter,2256,,,,,,,,,,,,,
3243786,31/5/2026,von Bibra JAC Motors,Register Your Interest JAC Hunter,4220,,,,,,,,,,,,,
3243755,31/5/2026,Northern JAC Motors,Register Your Interest JAC Hunter,3165,,,,,,,,,,,,,
3243740,31/5/2026,JAC Motors Townsville,Reserve Your Build,N/A,JAC,Hunter,QLD,Personal,Hunter X 4x4,Hammerhead,Karak,Front & Rear Diff Lock - Already included,Yes,2022,Mitsubishi,Outlander,90300
3243625,30/5/2026,JAC Motors Hampstead Gardens,HunterBuild,5045,JAC,Hunter,SA,Personal,Hunter Pro 4x4,Hammerhead,Karak,,Yes,2022,Mitsubishi,Triton,172000
3243379,30/5/2026,JAC Motors Cairns,Register Your Interest JAC Hunter,4870,,,,,,,,,,,,,
3243347,30/5/2026,JAC Motors Werribee,Reserve Your Build,N/A,JAC,Hunter,VIC,Personal,Hunter Pro 4x4,Huntsman,Hammerhead,,Yes,2015,Holden,Colorado,311100
3243346,30/5/2026,JAC Motors Werribee,Register Your Interest JAC Hunter,3222,,,,,,,,,,,,,
3243324,29/5/2026,Sydney City JAC Motors,Register Your Interest JAC Hunter,2066,,,,,,,,,,,,,
3243301,29/5/2026,JAC Motors,Register Your Interest JAC Hunter,6260,,,,,,,,,,,,,
3243250,29/5/2026,JAC Motors Sunshine Coast - Nambour,Register Your Interest JAC Hunter,4565,,,,,,,,,,,,,
3243142,29/5/2026,Cricks Tweed JAC Motors,Register Your Interest JAC Hunter,4221,,,,,,,,,,,,,
3243099,29/5/2026,Cricks Highway JAC Motors,Register Your Interest JAC Hunter,4120,,,,,,,,,,,,,
3242927,29/5/2026,Northern JAC Motors,HunterBuild,3066,JAC,Hunter,NSW,Personal,Hunter Pro 4x4,Ochre,,,Yes,2012,Mercedes Benz,E250,92k
3242921,29/5/2026,JAC Motors Queanbeyan,Register Your Interest JAC Hunter,2903,,,,,,,,,,,,,
3242899,29/5/2026,Coral Coast JAC Motors,HunterBuild,4812,JAC,Hunter,QLD,Personal,Hunter X 4x4,Hammerhead,I would like to wait for my preferred colour.,"Front & Rear Diff Lock - Already included, Power Sunroof - $TBC",No,,,,
3242865,28/5/2026,JAC Motors Midland,HunterBuild,6330,JAC,Hunter,WA,Personal,Hunter Pro 4x4,Stratus,I would like to wait for my preferred colour.,,No,,,,
3242864,28/5/2026,JAC Motors Midland,Register Your Interest JAC Hunter,6330,,,,,,,,,,,,,
3242693,28/5/2026,Sydney City JAC Motors,HunterBuild,2210,JAC,Hunter,NSW,Personal,Hunter Pro 4x4,Hammerhead,Karak,Front & Rear Diff Lock - $TBC,Yes,,,,
3242672,28/5/2026,Cricks Tweed JAC Motors,Register Your Interest JAC Hunter,4221,,,,,,,,,,,,,
3242636,28/5/2026,JAC Motors Hillcrest,Register Your Interest JAC Hunter,4118,,,,,,,,,,,,,
3242508,28/5/2026,Northern JAC Motors,HunterBuild,3175,JAC,Hunter,VIC,Business,Hunter X 4x4,Ochre,,Front & Rear Diff Lock - Already included,No,,,,
3242503,28/5/2026,JAC Motors,Register Your Interest JAC Hunter,2527,,,,,,,,,,,,,
3242371,28/5/2026,Northern JAC Motors,Register Your Interest JAC Hunter,3201,,,,,,,,,,,,,
